,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
1323, on 01/25/18 12:51 PM (PST),Maggie ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),Becareful with the X5edrive," I leased this 2016 e drive in Dec 2015, i am glad i leased it at the time, it had 3 year warranty on this car.  if i don't have this warranty, it would cost me a fortune to fix it.  in 2017 September, it first burned my electrical socket (with burning rubbery smell badly) in my garage while i was charging this car, i am glad i was home at that time, otherwise who knows what will happened.  after i called the service center the next thing i had to dropped it off at BMW service center, and that took literally two months to fix it.  what's worse is, even though they gave me a loaner car, but they requesting me to swab the car every three days, so i had to drive 30 minutes each way every 3 days to comprise their rules, this caused so so so much inconvenience.  not finished yet, they told me they had to replace the batteries, and its on back order, after around more than 1 month after my first drop off, i got my car back, **the very next day the engine light was on, the next thing again, i had to dropped it off again with BMW!!, and it's the battery problem again!! What the H***!! they told me, the first time, they didn't replaced the entire battery, and they had to do a back order for the remaining batteries, and this time, it took a little less than a month, maybe 25 days, but ! they told me, i can't drive their loaner car anymore when parts on back order, so instead, i got a Nissan rental for 3 weeks!!  So, this is my experience with this e drive, i am disappointed, the entire batteries was replaced, malfunction !!  if you are searching for your next hybrid vehicle, make a wise choice.  this e drive certainly is not capable of selling in the market.",3
1324, on 07/27/17 17:14 PM (PDT),Tth ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),Love it," Ive had the 2017, X5 plug in hybrid for 7 months.  I absolutely love it.  In electric mode it is so quiet.  Hardly ever need to fill up with gas and this is a huge car.   I dont have a level 2 charger at home yet but if i did i would have to fill up with gas even less.  l love the apple car play, HK stereo, navigation system especially how it works with the heads up display,  the comfy seats on and on.  The only thing that I can complain about is it is a slight learning curve with all the tech but i love all the tech on it, so its worth it!",5
1325, on 04/01/17 16:01 PM (PDT),Billy ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),Great ride marred by crappy tires, Handling is so so especially on curves. You'll really feel the weight of this beast when turning. Sport mode makes driving dynamics a bit better at the expense of using more gas. Without sport mode the ride is a bit bouncy in back. Tires noise from the Goodyear run flat tires is intrusive and annoying.  Every road nick or crevice is transmitted by these crappy tires into the cabin. BMW doesn't even offer a choice of non run flats. Will replace these tires with 5000 miles on them very soon. I personally think the x5 diesel may be a better choice.,3
1326, on 12/19/16 18:00 PM (PST),Sidney ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),Not a reliable and safe car! No more BMW!," I bought this X5 eDrive car after my 8-year old Lexus RX350 was totaled and I could not tolerate the new RX350/450h grille front design. Horrible experience started after a July accident, when a towing truck lost control spinning on highway and smashed to my passenger side door. The car was towed to Russel Collision Center in MD, it took them more than THREE months to ""fix"" it after repeated delays and excuses. There were a lot of visible and electronic problems when they said it was ready to be picked up. Then they tried to fixed them over and over. Finally you thought all should be good. Actually the nightmare just started. Over the weekend, I drove to NY. The ""Malfunction - Battery not charging"" message appeared. After contacting the Road Side Assistance (RSA), I decided to continue my trip as the car was moving OK. On my way back Sunday, the same message reappeared a few times before ""Drivetrain Malfunction"" appeared, and the car started shaking with all warning lights on. What a scaring moment on I-83 near York! I managed to stop the car over the shoulder.  I contacted RSA and it took me almost two hours to see a towing truck coming. I had to call a uber to take my family members home first while I was waiting for the tow truck. I thought I would have a safe ride with the towing truck to be back to my dealership. No kidding, the tow truck broke down after about 15 min while the driver was on his handheld phone all the time gossiping. I eventually had to take a uber home. This morning I contacted BMW Catonsville and they confirmed the car was towed there and they were ready to repair it. I was told by Text message, ""looks like we had a programming recall for the vehicle, i believe this squared away all these issues"" (the issues I reported included: Clicking noise, not working hybrid system, seat position button not working, USB phone button won't pick up incoming calls besides the battery not charging and malfunctioning drivetrain, etc.). If there's a serious recall, why the customer was not notified immediately, instead putting my entire family on risk. After I picked up the car this afternoon, the very first thing I noticed was that there's no power to the rear mirror (meaning you cannot program your garage door opener), which they fixed once couple of weeks ago. And the memory seat position button still not functioning. I have no idea how many more issues will be discovered and how much hassle I have to deal with on my busy life schedule. ADVICE: DO NOT buy any BWM cars, at least this model if you want a peace of mind for you and your family.",2
1327, on 12/08/16 12:56 PM (PST),Shirley ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),brand new bmw x5 e drive, It was great car but unfortunately i got a many same issues so Got refunded  from BMW by lemon laws. Thanks BMW company.,1
1328, on 12/04/16 19:57 PM (PST),ScottC ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),One year and only 4 tanks of gas," Traded in a BMW 7 series and felt like I was upgraded.  We love the elevated seating and view, especially with the glass roof.  My distance to work is around 6 miles so often I never have the engine running in gas mode.  I have only filled the gas tank about four times in almost 12 mos.  I love the option to adjust the engine modes from all gas to hybrid to all electric.  The engine changing from electric to gas is almost imperceptible.  Very roomy and elegant inside.  I am over 6 foot and there is lots of head room.  Handles very well in almost all weather situations--we haven't had much snow to comment on winter driving.  Heated seats and steering wheel are a plus.  I plug the car into the 110V standard home outlet in my garage at night and it is usually fully charged in the morning.  Thinking of getting a second one for my wife who currently drives an Escalade.  Only drawback if there is one is the liftback door is split such that the upper 3/4 raises and then you have to lower the bottom 1/4 separately to have it fully open for sliding something larger into the cargo space.  Not sure why they didn't make it one liftback door.  I would buy another one and I am hoping that they will extend the all battery range from around 14 miles to a few hundred like the Tesla.",5
1329, on 10/07/16 15:02 PM (PDT),hyoun kwon Jeong ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),smooth ride and fast when juice is full," I bet this hybrid would exceed your expectation. my wife drives mostly local road for riding kids. I'm fueling once a 2 weeks. full tank delivers around 700miles range for our usage. smooth, quiet and fast riding and full of joy is guaranteed only when enough juice. once the juice ran out, the full of joy is suddenly stopped. it turns to a bit noisy Japanese SUV. but, Acceleration is still faster than Japanese SUV, thanks to fast/smooth shift. So, You should plug-in as much as you can. I've been to 800miles trip without charging, average mpg was 25mpg in case of mostly highway. I would say if you intend to drive it mostly long distance or travel, 6cylinder X5 would be better. but, if you drive mostly local short distance like riding kids or commute, you will see the excellent fuel efficiency.",4
1330, on 09/11/16 14:29 PM (PDT),Jason Fox ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),I love the performance and fuel efficiency, I have driven 500 miles so far and have gone through just less than 1/2 a tank of gas! This vehicle is perfect for the way that I drive.,5
1331, on 07/29/16 15:13 PM (PDT),TyTy ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),Nice SUV but not BMW performance," My dealer was very generous enough in allowing me to test drive this car over the weekend. My overall impression of it...""NOT BMW PERFORMANCE!!!"" This car is amazing when you have 50 percent or higher battery charged and put into ECO Pro with auto setting. The car accelerated smoothly and reached speed limit very quick. If you put it into any other drive mode and attempt to accelerate quickly, forget it. The twin turbo 4 cylinder is way under power to move this 5000 pound beast. The acceleration also lagged because it has to start up the gas engine and let the turbo build up. By the time everything is ready, the acceleration is delayed by 1 to 2 seconds. And once it's ready, you get a lurch effect. I charged the battery overnight with the supplied 120V cable and it only charged 75% for 12 hours. The manual says 7 hours for a full charge. With only 75% charge, I was unable to test the 14 miles of battery driving. But I have to say that I did get 10 miles from the 75% battery. So I guess that is accurate. The braking was very soft in that it had difficulties stopping the car from 30 mph. This SUV is beautifully designed but the engine/hybrid is under power for it.",3
1332, on 07/22/16 11:00 AM (PDT),Ramct ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),Fantastic SUV with Great MPG," 2016 X-5 Hybrid is our 5th X5 and a surprising step forward from our prior gas and diesel models. The batteries charge overnight and the drive can be full battery (so 50+ MPG) if you plan to be just around town. Mixed driving is about 30 MPG which for a vehicle this size is amazing. The steering seems distinctly smoother than our prior models, just extremely smooth. Brakes are awesome. Acceleration is indistinguishable from our gas and diesel priors, with plenty of torque always available. Storage capacity is completely comparable to our prior X5s despite the batteries storage requirements. Fast charging stations are quickly becoming more available. Finishes and quality overall and sound system are all BMW-level,  meaning state-of-the-art. Best warranty available anywhere, and the BMW Service in Springfield is always a pleasure. The Hybrid is the future for all BMW Models, and if the X5 Hybrid is typical, then the future is here now, and very welcome. Wonderful to own and drive.",5
1333, on 06/21/16 11:00 AM (PDT),Hector Perez ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),Good Engineering, ,5
1334, on 08/10/18 15:27 PM (PDT),TheGermanTroll ,2016 BMW X5 eDrive SUV xDrive40e 4dr SUV AWD (2.0L 4cyl Turbo gas/electric hybrid 8A),X5 + Hybrid Motor = Winning," The xDrive40e is the best overall luxury SUV on the market. Once you take it for a test drive you will understand. You have a Twin Turbo 4-Cylinder engine and a 20 Mile Hybrid motor that gives a you virtually gas free driving around town. On long trips, you can maximize the Hybrid motor by Coasting and Breaking to recharge the engine to guarantee less fuel usage. Overall performance is fantastic. Though the heaviest of the X5 line you do not see any lag from stop to start with the engine combination. Gas mileage I have experienced in the city with combined driving is 58 mpg and on long trips of 150 miles plus I average 29 mpg. The ride is extremely smooth and I catch myself going a little fast. The heads-up display keep me in check while driving. The interior is beautiful depending on the options you select. I have the Black Dakota Leather and it is beautiful. Seat comfort is fantastic as you have an array of adjustment options for comfort. Navigation is great. The 10 inch plus display makes things very easy to use. The infotainment system is easy to use and navigate thru while driving. The exterior is beautiful. Dual exhaust and the traditional BMW kidney grill topped off with the high quality paint options makes the X5 a no brainier for someone looking for a new SUV. Many people complain about the xDrive40e not having a 3rd row seat. But honestly, unless your putting two or three midgets in the back, a 3rd row makes no sense. All and all, the 40e is an amazing SUV. I drove the Mercedes GLE and compared the two detail to detail. If your over 60 and looking for a grocery getter, get the Benz. If your looking for Performance AND quality, get the BMW. One side note, iOS compatibility is POOR due to Apple limiting the iPhone. Very tough to get Text Messages and Emails on the infotainment with an Apple device.",5
1335, on 08/08/18 11:13 AM (PDT),josette audoire ,2018 BMW X2 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),X2 beamer," Nice looking car.  Pleasant to  drive.    Very annoying cabin noise.     When turbo is needed the car hesitate at first, could be dangerous.                                                    Small trunk with no place for a spare.   The trunk is cheaply finished.   The console only show the speedometer in miles, not in km.       One needs a degree to master the electronics.",3
1336, on 01/09/11 06:03 AM (PST),boyracer3 ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Great car for 6' and under.   40K miles 4 yrs old, Purchased CPO w 10K mi. Can't imagine why anyone would new bmw when CPO program is so great. Have had car for 30+ mos. And all service has been free. Have had a rattle in the pop up Nav. Fixed. Hatch opening problems fixed by replacing Z4 lid bumpers with 3 series spring loaded bumpers. Intermitent pass door lock fussiness. But that's it for problems. Nav system is grossly inferior to Japanese and domestics. Unfortunate. But I like the newer idrive interface a lot better. A blast to drive. Very responsive handles like it's on rails. Cont.,4.5
1337, on 07/05/10 06:37 AM (PDT),jon ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),High Performing Car for Niche Drivers," I knew that I wanted a high performing car before I ultimately decided on the Z4 M coupe. On my list was the Lotus Elise, Honda S2000, and the Z4 coupe. These are all great cars though each has something unique that sets it apart from the rest. The Elise is raw for the purest, the S2000 a great value and compromise between the rawness of the Elise and the luxury of the M coupe. The M coupe has all the creature comforts, but also has the thrill of a high performance track car. Additionally the M coupe has a uniqueness - only 1815 built. If you are looking for a uniquely designed sporty car that performs, and begs to be driven through windy roads, this may be your car.",4.875
1338, on 03/22/09 11:56 AM (PDT),epbrown ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),The Last True M Car?," Possibly my favorite car ever. Driving the Z4M provides a fun, visceral experience I just didn't get from the Cayman S I test drove. The car is more challenging to the driver than the Porsche, but all the best sports car elements are there - the brakes and steering from the CSL, a firm suspension, the revvy S54 engine and  a LSD, wrapped in a taut sculpted package that I think is the most successful of the flame-surfaced cars of the Bangle regime. This is a BMW M without the compromises required to genuflect at the alter of practicality required of the other M cars. I also like that you don't see the Z4 M Coupe everywhere - in over a year of ownership, I've seen only two others on the road. ",4.75
1339, on 09/28/08 07:43 AM (PDT),fasttoys ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),2007 M Coupe," Great, fun to drive. Very rare, won't see many on the road. The last true BMW M car with a hand built high rev inline 6. 2008 is the last year of the M coupe most likely never to be built again all z4 going forward will have conv hard top no fixed roof.",4.5
1340, on 03/26/08 23:08 PM (PDT),Beemerhead ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Unique," This is my third Z4 series car and second Z4M. In black with the sculpted curves it really stands out.  You will not be confused for anything else on the road.  I got the coupe so I could do more track events with the car clubs.  The car handles extremely well, has great space for a roadster and the sound is wonderful.  I like driving around in the lower gears just to keep the rpms up where the sound and performance are great.  People will stare and give you a thumbs up. Several thought it was a $100k car.  You just feel GREAT when you're driving and you'll find any excuse to go anywhere for any reason. This is a ""Life is good"" car for me.",5
1341, on 10/17/07 00:37 AM (PDT),jmillet ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Very competent machine," After driving a high strung, feisty Zed 3 M Coupe for five years the transition to the Zed 4 M Coupe borders on boring.  The car does everything you ask it to do in a very uneventful manner.  I've done four driving school events with the car and it performed flawlessly.  Install high temperature competition brake pads, mount R-compound tires, turn off the DSC and you have a thoroughbred stallion ready to go fast and take any turn you can throw at it. This one is definitely a keeper.  BMW has raised the bar very high with the S54 powered Zed 4 M Coupe. ",4.625
1342, on 10/06/07 17:17 PM (PDT),joe ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Know what you are getting into," I sold my 06 330i with the knowledge that the M coupe I was about to purchase was very far removed from the 330i in both comfort and performance.  The car is a rocket, but you feel every bump on the road. Also, the ""premium"" sound system in the M  is sub-standard at best.  Again, know what you are getting into before you buy. If you are willing to sacrafice comfort for performance, then this is the car for you. It was for me. ",4.5
1343, on 09/29/07 07:46 AM (PDT),Adam ,2007 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Makes the Cayman look like a Kia," I always used to look at this car and think the styling is too weird and quirky. I then went on the site to look at the 5-Series and I saw the hatchback Z4. I then went to the dealer to check it out, I tested the Z4 coupe and the M coupe. I walked out with the M I tested. The styling is so unique that you will always get noticed, I got it in the brown colour and I will never regret it. It really brings out the curves of the car. I tested the Cayman also and it was going to cost $10000 more for not even the S! This really shows how good a designer Chris Bangle was.  Get the nav with iDrive.",4.25
1344, on 11/03/09 14:41 PM (PST),Dennis Cunningham ,2007 BMW Z4 M Convertible 2dr Convertible (3.2L 6cyl 6M),Upgrading from Z4 to M roadster," Purchased a new Z4 3.0 in 2005.  Really liked it but really wanted more power through the shifts.  Found a 2007 M roadster at a dealer with only 9000 miles on the clock.  Dealer let me have a 50 mile test drive through the hills and twisties... OMG!  That's the way to sell a car!  This is the car I have been looking for!  Power, handling, looks, all there in spades.  Here is a surprise!  Just drove it to Idaho up lonely hwy. 93 through Nevada.  Round trip of 1600 miles and ran steady 75 to 90 mph.  Averaged 25 miles per gallon.  Didn't buy it for fuel economy, but was not expecting this!  One diss... Why does the nav pop up every time you change the radio station?",4.75
1345, on 12/31/07 14:19 PM (PST),Rippem ,2007 BMW Z4 M Convertible 2dr Convertible (3.2L 6cyl 6M),Is it possible to have more fun?," I can not speak highly enough about this car. Although it is still in the break-in period the performance is amazing. Handling is brilliant as well. This car loves to be driven hard. I really find the sport mode amusing, the level of throttle response and immediacy to respond to acceleration is similar to a Dinan chipped car. The car can also be driven easy especially below the 3500 RPM mark. The looks may not be to everyones taste but I like it.",4.75
1346, on 08/29/07 13:37 PM (PDT),Chrisloef ,2007 BMW Z4 M Convertible 2dr Convertible (3.2L 6cyl 6M),The best roadster out there," I sought out to purchase a roadster style car this June and must have tested everything under the sun.  I wanted to stay $60k and under which actually didn't leave me with many comparable options.  My favorite cars ended up being the Corvette, M Roadster, and 350Z Roadster.  Once you sit in an M roadster, you will notice the marked difference in quality.  The M has it all, style, quality, and great feel.",4.75
1347, on 04/03/07 13:28 PM (PDT),tp3 ,2007 BMW Z4 M Convertible 2dr Convertible (3.2L 6cyl 6M),Now this is a real sports car !," After selling my 06 Corvette, I went ahead and factory ordered the M Roadster because I have read many good reviews. I am 100% satisfied with the car. The throttle response is just phenomenal and with a little touch, it just goes. The car handles great and feels very nimble and taut with sharp turn-ins. The engine is as smooth as silk and produces the perfect exhaust note. Sadly my car is still during the break-in period but I can already feel the beast under the hood waiting to get out. I totally love the big, thick steering wheel and the driving inputs one gets from it. In every aspect, this car far exceeds my expectations and IMHO, this is the best roadster in the market right now.",5
1348, on 08/30/09 23:05 PM (PDT),Beau ,2008 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Outrageous Car," I ordered this car in April 08 and have been totally impressed ever since I took delivery in July 08.  I have always been a Porsche guy, but this thing actually gets more looks and compliments that the GT3 that I have the fortune to borrow from a friend now and then.  Not quite as fast as the GT3, but for half the price I'd say that's okay.  It actually is the closest thing I could find to a GT3 for less than $100K.  A true street legal race car. ",4.625
1349, on 01/19/09 16:04 PM (PST),niall86 ,2008 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),First one in Alaska," So I have the first BMW Z4 M coupe sold in Alaska, bought it in September, now there is only one other one up here. I have had it for about 5 months and still love driving it everyday even in the winter. People are always looking at it and telling me how cool it is. Just got the windows tinted. That's the only thing I would ever need to do to this car.  Amazing machine. ",5
1350, on 08/24/08 11:28 AM (PDT),zippydoo ,2008 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Perfect sportscar," I tried several competitors (new M3, IS-F, RS4, C63) but the 1st time I sat and drove this car I knew it was what I wanted - a pure driver's car that has some semblance of practicality too. Not full of driver aids that detract from the driving experience. The looks are stunning and it gets endless complements from everyone. Just fun to drive, even when noodling around town. Sure to be a classic, in terms of design/performance - a little hot rod.",4.5
1351, on 07/17/08 11:30 AM (PDT),David G. ,2008 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Stunning sports coupe w/ great handling," I love this car. It really is my favorite car that I have driven and the best handling BMW bar none. After 5 bimmers, I can say this is the ultimate 2-seater sports car for the M driver. After 4 months, I still get a thrill just commuting to work and back home. And I still get lots of complements from co-workers and wide- eyed looks from fellow drivers. The dark red leather sport seats are the best in any German car for sale today. ",4.875
1352, on 06/07/08 00:15 AM (PDT),beemerhead ,2008 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Exotic Car at half the price," I have taken this car on several road trips, the longest to Vegas and I have autocrossed it once, too.  The car handles amazingly well and stuck corners I didn't think I could do.  It is fine on a track which is why I bought it but it is civilized enough for daily use, too.  Most people think the car costs over $100k.  In Vegas they parked my car out front with the Maseratis and Astons because of its looks.  People point at you as you drive around and kids holler (good) things at you at the theater.  I love the sculpture like looks and the fact not a single other car on the road is even vaguely similar.",5
1353, on 05/13/08 19:32 PM (PDT),JD ,2008 BMW Z4 M Coupe 2dr Coupe (3.2L 6cyl 6M),Pure power sports car -- Fantastic buy," A pure sports car -- everything you need, nothing more.  Feels like 400hp strapped to your chair with phenomenal handling.  Love the car. There are times I wish it had the iDrive and with it the front/rear parking sensors -- long nose and difficulty sighting corners make me fearful at times I nick a curb, etc.",4.75
1354, on 05/06/18 19:12 PM (PDT),Jim ,2008 BMW Z4 M Convertible 2dr Convertible (3.2L 6cyl 6M),You need to own this car," I bought this car five years ago with 20,000 miles on it. It is just about to turn 100,000 miles. I’ve never owned a car that I’ve enjoyed more than this one. After I bought it I put an ESS supercharger on, wider tires, and coil over shocks.  The rest of the car is stock. It has been absolutely reliable never once leaving me stuck or stranded or failing to start . I’ve gone through brakes tires two headlights and assorted other minor things. The engine has never been a part nor has the transmission it has been an absolute jewel to own. I can’t say enough good than about the engine. 330 horses stock and the supercharger takes it to around 430. The car can fly. At 100,000 miles I starting to think about replacing it but can’t find anything I like better. All this and i can put a full set of golf clubs in the trunk with the top u or down. I’ve owned a Jag xk120, 58 vet,several Porsches, a Dino Ferrari and several other BMW’s in addition to a lot of motorcycles. This is the best.",5
1355, on 05/19/17 20:56 PM (PDT),Kert Zilstra ,2008 BMW Z4 M Convertible 2dr Convertible (3.2L 6cyl 6M),Go-cart, Adrenaline rush!  This is a go cart on steroids. All about fun.  The handling is exceptional  and the acceleration exhilarating!  I can not provide enough adjectives to describe the driving  experience! I am an old fifty seven year old  and when I get into my z roadster floor the accelerator and fly down the winding  road I feel 20 years younger!!,5
1356, on 12/06/09 05:44 AM (PST),Trevor ,2008 BMW Z4 M Convertible 2dr Convertible (3.2L 6cyl 6M),A true roadster...," Just as advertised, this is a true roadster. Great styling outside and in, power, balance, great to drive fast both straight and around the curves. Take note however, as a second car, it's fun, but not recommended as a primary mode of transport. It is a sports car. The M version has a stiff suspension and low MPG... a car to be driven for pleasure, top down, in fine weather. To leave garaged until one feels the urge for fun.. If one were to drive it every day, it would soon lose the fun value. Stiff suspension, firm seats. This car is designed for racetrack performance, not for around town comfort and convenience. Fit and finish is as you would expect from the brand. MMMM... did I mention fun?",4.125
1357, on 07/23/17 08:59 AM (PDT),Sami Revah ,2014 BMW 6 Series Gran Coupe Sedan 650i 4dr Sedan (4.4L 8cyl Turbo 8A),"Amazing performance, terrible fuel economy"," The performance, ride, comfort and amenities are all amazing. The car is fun to drive and fun to just sit in. There is a price to pay, though. Having all that power and torque on tap makes it too tempting to drive the car aggressively. But when you do, you'll get nowhere near the car's rated mpg estimate. I've only had mine a few weeks now and I'm getting around 15 mpg. Maybe that will improve once the initial thrill has worn off, maybe not.",4
1358, on 11/02/15 21:39 PM (PST),Stewart ,2014 BMW 6 Series Gran Coupe Sedan 650i 4dr Sedan (4.4L 8cyl Turbo 8A),James bought a lemon," One bad BMW experience does not define a brand!  I absolutely love this car.  I've been driving BMWs for over 20 years and this is by far the best car I've ever driven.  Performance, comfort, and high quality.  The look and lines of the car are almost sensual..",5
1359, on 08/03/15 17:29 PM (PDT),James ,2014 BMW 6 Series Gran Coupe Sedan 640i 4dr Sedan (3.0L 6cyl Turbo 8A),Buyer Beware of BMW," - Infotainment System went out frequently while driving- SOS button malfunctioning frequently- Entire dash going out and coming back on while drivingTrunk randomly opening when parked or before driving off (if you are fast enough to get in and lock doors, etc., it won't open.BMW was made aware of the problems but refused to do a Trade Assist Program on this faulty vehicle because of high mileage (29,000), amount still owed (only 12 months of payments) and repair attention not an emergency.Wife had same vehicle (except coupe) we bought one day apart, and they took it back (only constant brake problems and water leaks in the trunk (at 15,000 miles).I recommend steering clear of BMW, but if you still insist, stay away from 2014 640i Xdrive Gran Coupe.",2
1360, on 10/03/17 11:09 AM (PDT),Cindy ,2016 BMW 6 Series Gran Coupe Sedan 650i 4dr Sedan (4.4L 8cyl Turbo 8A),My dream car!, Wanted it for years.  Everything I thought it’d be!  Fast and fun!!!,5
1361, on 03/20/18 11:26 AM (PDT),David ,2015 BMW 6 Series Gran Coupe Sedan 640i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),Like Every Beauty - There's always something," I really enjoy driving this car as it's quick, stylish and beautiful with both interior and exterior quality above most on the road. Keep in mind that this is big vehicle so quick is a relative, but in true BMW fashion the car will get you up to 80mph+ without you even being aware even in city traffic. However, there is a noticeable lag from the turbo and gas mileage borders on atrocious for this day and age when driven even just modestly aggressive.  With that said, it's quiet and smooth at speeds of even over 100mph. The I-Drive is far better than the old days and better than any I've used. Also, the rear seats fold down which increases the utility greatly and was one of the reason I decided to buy this model. The interior quality is among the best, although taller drivers and passengers will need to watch their heads as the car is low and wide both inside and out.So you get a gorgeous car, room for large items in the back (especially with the rear seats folded) as well as a wonderful touring car with front seats that will make your time in the car very comfy. All this for a mere $90K or so....  And that's where the rub is for me. Despite being treated with the M badging and upgraded package, my in line 6 cylinder still lacks fairly basic items like blind spot detection, intuitive cruise control, lane keep, upgraded stereo and the one that drives me crazy, a power trunk. The power trunk is not even an option, but adding these other items along with the accompanying, required packages and you're approaching $100K. In addition, I had to pay extra via aftermarket hack to have simple things like mirrors fold with remote, windows down with remote, auto engine shutoff disabled. Seems to me that even for the messily $87K that my car cost new it should really have these items. I am pretty sure the same year Honda Accord has more amenities. I mean, come on BMW. In short, love the way the car looks and drives, miss the gadgets, hate the value for price proposition.",4
1362, on 07/11/18 10:59 AM (PDT),stephen Johnson ,2017 BMW 6 Series Gran Coupe Sedan 650i xDrive 4dr Sedan AWD (4.4L 8cyl Turbo 8A),My second 650i GC," Two adults can comfortably be in this car. Back seat is fine for small children or small dogs.  Has plenty of power with no lag in pulling strength, especially in sport mode.  Great highway cruiser & fun in town. I get a lot of compliments on its looks.  Disappointed they’re discontinuing it, but am looking forward to the new 850.  ",5
1363, on 05/08/16 21:43 PM (PDT),J M Jaxn ,2013 BMW 6 Series Gran Coupe Sedan 640i 4dr Sedan (3.0L 6cyl Turbo 8A),640i Life," I thoroughly enjoy this vehicle, this by far is one of my favorites.",5
1364, on 03/25/16 20:43 PM (PDT),Charles Snyder ,2013 BMW 6 Series Gran Coupe Sedan 650i 4dr Sedan (4.4L 8cyl Turbo 8A),Ultimate 650, ,4
1365, on 01/23/16 14:36 PM (PST),Ravi Malik ,2013 BMW 6 Series Gran Coupe Sedan 650i 4dr Sedan (4.4L 8cyl Turbo 8A),BMW 650I Gran Coupe 2013, ,4
1366, on 01/18/13 12:25 PM (PST),kingc0mm ,2013 BMW 6 Series Gran Coupe Sedan 640i 4dr Sedan (3.0L 6cyl Turbo 8A),What A Beauty," Guys , this 640i grand coupefully loaded is a stunner on the road and sitting in my garage. Some guy in a Lexus GS wanted to play on the highwaylast weekend. I hit sport mode and sliced andhim so bad, he will never forget he tried to get cute with the grande coupe.My wife could not understand what came over me. I told her its a guy thing. The grand coupe can park next to anything in the swanky part of town and look stunning. You get Comfort , luxury. Fuel Efficiencyand sexy as a runway model.Don't let the online pictures fool you go have a look for your self.Kingc0mm",4.75
1367, on 11/28/11 16:12 PM (PST),330zhp ,2011 BMW 1 Series M Coupe 2dr Coupe (3.0L 6cyl Turbo 6M),Orange Bimmer," I have owned many different cars from nearly every major manufacturer and this car is, by far, the most fun to drive.It is almost as exciting to drive as the Gallardo I drove in Vegas, and this car I can actually own (and do).It is in it's break-in period, but it is still a blast to drive through back roads.Averaging about 20/21 mpg currently.",4.625
1368, on 11/17/11 17:44 PM (PST),dhwhitney ,2011 BMW 1 Series M Coupe 2dr Coupe (3.0L 6cyl Turbo 6M),M-power and distinctiveness for cheap," Picked up with Euro delivery in Munich, now back in states.Germans went nuts over this car (Valencia Orange probably helped!) and was great fun to drive on the Autobahn and at the Nurburgring.Traded in a 2009 M3 and I prefer this car despite the fact that Randy Pobst ""hates it!""For people like me that have driven on the track with fast cars Porsch GT3 and the M3,eg) but are no way race drivers this car rocks.Looks have been criticized, but looks butch to me and the general public seems to agree.No auto means few posers and limited production means I have only seen one other on the street (in white).Only changes I would like:better plastics, more aggressive factory tune>",4.75
